"id","value","category","description"
61,(╯✧▽✧)╯,joy,""
62,o(>ω<)o,joy,""
63,o( ❛ᴗ❛ )o,joy,""
64,｡ﾟ(TヮT)ﾟ｡,joy,""
65,( ‾́ ◡ ‾́ ),joy,""
66,(ﾉ´ヮ`)ﾉ*: ･ﾟ,joy,""
67,(b ᵔ▽ᵔ)b,joy,""
68,(๑˃ᴗ˂)ﻭ,joy,""
69,(๑˘︶˘๑),joy,""
70,( ˙꒳​˙ ),joy,""
71,(*꒦ິ꒳꒦ີ),joy,""
72,°˖✧◝(⁰▿⁰)◜✧˖°,joy,""
73,(´･ᴗ･ ` ),joy,""
74,(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧,joy,""
75,(„• ֊ •„),joy,""
76,(.❛ ᴗ ❛.),joy,""
77,(⁀ᗢ⁀),joy,""
78,(￢‿￢ ),joy,""
79,(¬‿¬ ),joy,""
80,(*￣▽￣)b,joy,""
81,( ˙▿˙ ),joy,""
82,(¯▿¯),joy,""
83,( ◕▿◕ ),joy,""
84,＼(٥⁀▽⁀ )／,joy,""
85,(„• ᴗ •„),joy,""
86,(ᵔ◡ᵔ),joy,""
87,( ´ ▿ ` ),joy,""
88,(ﾉ´ з `)ノ,love,""
89,(♡μ_μ),love,""
90,(*^^*)♡,love,""
91,☆⌒ヽ(*'､^*)chu,love,""
92,(♡-_-♡),love,""
93,(￣ε￣＠),love,""
94,ヽ(♡‿♡)ノ,love,""
95,( ´ ∀ `)ノ～ ♡,love,""
96,(─‿‿─)♡,love,""
97,(´｡• ᵕ •｡`) ♡,love,""
98,(*♡∀♡),love,""
99,(｡・//ε//・｡),love,""
100,(´ ω `♡),love,""
101,♡( ◡‿◡ ),love,""
102,(◕‿◕)♡,love,""
103,(/▽＼*)｡o○♡,love,""
104,(ღ˘⌣˘ღ),love,""
105,(♡°▽°♡),love,""
106,♡(｡- ω -),love,""
107,♡ ～('▽^人),love,""
108,(´• ω •`) ♡,love,""
109,(´ ε ` )♡,love,""
110,(´｡• ω •｡`) ♡,love,""
111,( ´ ▽ ` ).｡ｏ♡,love,""
112,╰(*´︶`*)╯♡,love,""
113,(*˘︶˘*).｡.:*♡,love,""
114,(♡˙︶˙♡),love,""
115,♡＼(￣▽￣)／♡,love,""
116,(≧◡≦) ♡,love,""
117,(⌒▽⌒)♡,love,""
118,(*¯ ³¯*)♡,love,""
119,(っ˘з(˘⌣˘ ) ♡,love,""
120,♡ (˘▽˘>ԅ( ˘⌣˘),love,""
121,( ˘⌣˘)♡(˘⌣˘ ),love,""
122,(/^-^(^ ^*)/ ♡,love,""
123,"٩(♡ε♡)۶",love,""
124,σ(≧ε≦σ) ♡,love,""
125,♡ (⇀ 3 ↼),love,""
126,♡ (￣З￣),love,""
127,(❤ω❤),love,""
128,(˘∀˘)/(μ‿μ) ❤,love,""
129,❤ (ɔˆз(ˆ⌣ˆc),love,""
130,(´♡‿♡`),love,""
131,(°◡°♡),love,""
132,Σ>―(〃°ω°〃)♡→,love,""
133,"(´,,•ω•,,)♡",love,""
134,(´꒳`)♡,love,""
135,(⌒_⌒;),embarassment,""
136,(o^ ^o),embarassment,""
137,(*/ω＼),embarassment,""
138,(*/。＼),embarassment,""
139,(*/_＼),embarassment,""
140,(*ﾉωﾉ),embarassment,""
141,(o-_-o),embarassment,""
142,(*μ_μ),embarassment,""
143,( ◡‿◡ *),embarassment,""
144,(ᵔ.ᵔ),embarassment,""
145,(*ﾉ∀`*),embarassment,""
146,(//▽//),embarassment,""
147,(//ω//),embarassment,""
148,(ノ*°▽°*),embarassment,""
149,(*^.^*),embarassment,""
150,(*ﾉ▽ﾉ),embarassment,""
151,(￣▽￣*)ゞ,embarassment,""
152,(⁄ ⁄•⁄ω⁄•⁄ ⁄),embarassment,""
153,(*/▽＼*),embarassment,""
154,(⁄ ⁄>⁄ ▽ ⁄<⁄ ⁄),embarassment,""
155,(„ಡωಡ„),embarassment,""
156,(ง ื▿ ื)ว,embarassment,""
157,( 〃▽〃),embarassment,""
158,(/▿＼ ),embarassment,""
159,(///￣ ￣///),embarassment,""
160,(ノ_<。)ヾ(´ ▽ ` ),sympathy,""
161,｡･ﾟ･(ﾉД`)ヽ(￣ω￣ ),sympathy,""
162,ρ(- ω -、)ヾ(￣ω￣; ),sympathy,""
163,ヽ(￣ω￣(。。 )ゝ,sympathy,""
164,(*´ I `)ﾉﾟ(ﾉД｀ﾟ)ﾟ｡,sympathy,""
165,ヽ(~_~(・_・ )ゝ,sympathy,""
166,(ﾉ_；)ヾ(´ ∀ ` ),sympathy,""
167,(; ω ; )ヾ(´∀`* ),sympathy,""
168,(*´ー)ﾉ(ノд`),sympathy,""
169,(´-ω-`( _ _ ),sympathy,""
170,(っ´ω`)ﾉ(╥ω╥),sympathy,""
171,(ｏ・_・)ノ”(ノ_<、),sympathy,""
172,(＃＞＜),dissatisfaction,""
173,(；⌣̀_⌣́),dissatisfaction,""
